day,priceType,timestamp,hour,pnode,lmp,mcc,mlc
2026-01-02,ExPost,2026-01-02 23:00:00,23,CWLP.AZ,38.35,-4.9,-4.76
2026-01-02,ExPost,2026-01-02 23:05:00,23,CWLP.AZ,38.2,-1.1,-1.96
2026-01-02,ExPost,2026-01-02 23:10:00,23,CWLP.AZ,33.97,0.23,1.32
2026-01-02,ExPost,2026-01-02 23:15:00,23,CWLP.AZ,37.7,-0.86,-0.78
2026-01-02,ExPost,2026-01-02 23:20:00,23,CWLP.AZ,37.47,0.42,0.48
2026-01-02,ExPost,2026-01-02 23:25:00,23,CWLP.AZ,37.56,-1.62,-0.36
2026-01-02,ExPost,2026-01-02 23:30:00,23,CWLP.AZ,35.8,-4.37,-5.12
2026-01-02,ExPost,2026-01-02 23:35:00,23,CWLP.AZ,38.1,-4.45,-0.41
2026-01-02,ExPost,2026-01-02 23:40:00,23,CWLP.AZ,39.4,0.67,-0.61
2026-01-02,ExPost,2026-01-02 23:45:00,23,CWLP.AZ,40.99,4.83,-0.46
2026-01-02,ExPost,2026-01-02 23:50:00,23,CWLP.AZ,34.78,-1.11,2.92
2026-01-02,ExPost,2026-01-02 23:55:00,23,CWLP.AZ,35.61,-1.08,-3.14
2026-01-03,ExPost,2026-01-03 00:00:00,0,CWLP.AZ,38.77,-0.14,2.34
2026-01-03,ExPost,2026-01-03 00:05:00,0,CWLP.AZ,35.99,-1.33,-0.66
2026-01-03,ExPost,2026-01-03 00:10:00,0,CWLP.AZ,34.79,-1.66,1.01
2026-01-03,ExPost,2026-01-03 00:15:00,0,CWLP.AZ,33.87,-1.57,-5.16
2026-01-03,ExPost,2026-01-03 00:20:00,0,CWLP.AZ,32.33,3.26,-4.72
2026-01-03,ExPost,2026-01-03 00:25:00,0,CWLP.AZ,35.67,-3.75,-2.1
2026-01-03,ExPost,2026-01-03 00:30:00,0,CWLP.AZ,41.23,2.15,-0.54
2026-01-03,ExPost,2026-01-03 00:35:00,0,CWLP.AZ,35.27,-1.21,-2.13
2026-01-03,ExPost,2026-01-03 00:40:00,0,CWLP.AZ,35.18,-1.12,-4.13
2026-01-03,ExPost,2026-01-03 00:45:00,0,CWLP.AZ,38.47,-3.36,0.46
