day,priceType,timestamp,hour,pnode,lmp,mcc,mlc
2026-01-02,ExPost,2026-01-02 23:00:00,23,ILLINOIS.HUB,36.32,-1.63,-1.54
2026-01-02,ExPost,2026-01-02 23:05:00,23,ILLINOIS.HUB,34.3,1.45,-1.89
2026-01-02,ExPost,2026-01-02 23:10:00,23,ILLINOIS.HUB,35.72,-2.68,-3.56
2026-01-02,ExPost,2026-01-02 23:15:00,23,ILLINOIS.HUB,37.58,-3.91,-2.3
2026-01-02,ExPost,2026-01-02 23:20:00,23,ILLINOIS.HUB,35.13,-1.92,0.64
2026-01-02,ExPost,2026-01-02 23:25:00,23,ILLINOIS.HUB,34.35,-1.73,-2.45
2026-01-02,ExPost,2026-01-02 23:30:00,23,ILLINOIS.HUB,32.69,-2.99,-0.5
2026-01-02,ExPost,2026-01-02 23:35:00,23,ILLINOIS.HUB,36.59,-2.19,-5.12
2026-01-02,ExPost,2026-01-02 23:40:00,23,ILLINOIS.HUB,39.66,-3.38,-3.1
2026-01-02,ExPost,2026-01-02 23:45:00,23,ILLINOIS.HUB,33.53,-5.26,-0.83
2026-01-02,ExPost,2026-01-02 23:50:00,23,ILLINOIS.HUB,36.33,0.97,-2.75
2026-01-02,ExPost,2026-01-02 23:55:00,23,ILLINOIS.HUB,37.12,-1.91,-4.56
2026-01-03,ExPost,2026-01-03 00:00:00,0,ILLINOIS.HUB,36.46,-3.45,-4.92
2026-01-03,ExPost,2026-01-03 00:05:00,0,ILLINOIS.HUB,39.52,-0.82,0.11
2026-01-03,ExPost,2026-01-03 00:10:00,0,ILLINOIS.HUB,37.35,1.67,-1.89
2026-01-03,ExPost,2026-01-03 00:15:00,0,ILLINOIS.HUB,34.52,-0.37,1.51
2026-01-03,ExPost,2026-01-03 00:20:00,0,ILLINOIS.HUB,33.26,2.67,5.76
2026-01-03,ExPost,2026-01-03 00:25:00,0,ILLINOIS.HUB,35.33,-0.54,-2.89
2026-01-03,ExPost,2026-01-03 00:30:00,0,ILLINOIS.HUB,34.09,-3.22,1.48
2026-01-03,ExPost,2026-01-03 00:35:00,0,ILLINOIS.HUB,36.38,1.94,-7.92
2026-01-03,ExPost,2026-01-03 00:40:00,0,ILLINOIS.HUB,35.16,1.6,-0.04
