day,priceType,timestamp,hour,pnode,lmp,mcc,mlc
2026-01-02,ExPost,2026-01-02 23:00:00,23,MINN.HUB,35.17,1.25,-0.33
2026-01-02,ExPost,2026-01-02 23:05:00,23,MINN.HUB,35.91,-0.17,-0.42
2026-01-02,ExPost,2026-01-02 23:10:00,23,MINN.HUB,33.34,-0.54,-1.21
2026-01-02,ExPost,2026-01-02 23:15:00,23,MINN.HUB,38.74,-2.73,0.92
2026-01-02,ExPost,2026-01-02 23:20:00,23,MINN.HUB,32.7,-0.01,-1.14
2026-01-02,ExPost,2026-01-02 23:25:00,23,MINN.HUB,35.03,-0.04,-0.38
2026-01-02,ExPost,2026-01-02 23:30:00,23,MINN.HUB,34.11,0.48,-3.83
2026-01-02,ExPost,2026-01-02 23:35:00,23,MINN.HUB,35.05,2.2,-2.1
2026-01-02,ExPost,2026-01-02 23:40:00,23,MINN.HUB,36.59,-1.44,-5.18
2026-01-02,ExPost,2026-01-02 23:45:00,23,MINN.HUB,34.65,1.13,-1.11
2026-01-02,ExPost,2026-01-02 23:50:00,23,MINN.HUB,40.32,-2.64,0.6
2026-01-02,ExPost,2026-01-02 23:55:00,23,MINN.HUB,35.4,-1.24,-0.79
2026-01-03,ExPost,2026-01-03 00:00:00,0,MINN.HUB,34.04,1.92,-4.27
2026-01-03,ExPost,2026-01-03 00:05:00,0,MINN.HUB,31.95,-2.76,-2.34
2026-01-03,ExPost,2026-01-03 00:10:00,0,MINN.HUB,35.44,-3.17,-1.27
2026-01-03,ExPost,2026-01-03 00:15:00,0,MINN.HUB,34.59,-3.12,-2.82
2026-01-03,ExPost,2026-01-03 00:20:00,0,MINN.HUB,39.32,-2.97,-2.11
2026-01-03,ExPost,2026-01-03 00:25:00,0,MINN.HUB,35.88,-0.89,-1.5
2026-01-03,ExPost,2026-01-03 00:30:00,0,MINN.HUB,37.32,-0.09,-4.28
2026-01-03,ExPost,2026-01-03 00:35:00,0,MINN.HUB,34.07,-4.51,-0.68
2026-01-03,ExPost,2026-01-03 00:40:00,0,MINN.HUB,39.36,-0.12,0.57
2026-01-03,ExPost,2026-01-03 00:45:00,0,MINN.HUB,34.83,-3.34,-2.8
2026-01-03,ExPost,2026-01-03 00:50:00,0,MINN.HUB,35.18,-0.17,2.54
2026-01-03,ExPost,2026-01-03 00:55:00,0,MINN.HUB,35.68,-2.73,-1.87
2026-01-03,ExPost,2026-01-03 01:00:00,1,MINN.HUB,37.14,0.68,-0.11
2026-01-03,ExPost,2026-01-03 01:05:00,1,MINN.HUB,36.31,-0.45,-5.03
2026-01-03,ExPost,2026-01-03 01:10:00,1,MINN.HUB,37.05,-1.79,-0.2
2026-01-03,ExPost,2026-01-03 01:15:00,1,MINN.HUB,38.32,-1.14,1.88
2026-01-03,ExPost,2026-01-03 01:20:00,1,MINN.HUB,34.67,-4.66,0.82
2026-01-03,ExPost,2026-01-03 01:25:00,1,MINN.HUB,34.17,1.23,-0.54
2026-01-03,ExPost,2026-01-03 01:30:00,1,MINN.HUB,31.03,-5.15,-4.29
2026-01-03,ExPost,2026-01-03 01:35:00,1,MINN.HUB,32.15,-0.99,4.99
2026-01-03,ExPost,2026-01-03 01:40:00,1,MINN.HUB,34.28,-0.09,-2.27
2026-01-03,ExPost,2026-01-03 01:45:00,1,MINN.HUB,36.09,-2.12,-0.34
2026-01-03,ExPost,2026-01-03 01:50:00,1,MINN.HUB,38.34,-1.38,2.01
2026-01-03,ExPost,2026-01-03 01:55:00,1,MINN.HUB,37.87,-5.79,-3.47
2026-01-03,ExPost,2026-01-03 02:00:00,2,MINN.HUB,35.74,3.07,-1.72
2026-01-03,ExPost,2026-01-03 02:05:00,2,MINN.HUB,33.37,0.1,-1.03
2026-01-03,ExPost,2026-01-03 02:10:00,2,MINN.HUB,34.27,-3.14,0.29
2026-01-03,ExPost,2026-01-03 02:15:00,2,MINN.HUB,37.03,-0.52,-5.94
2026-01-03,ExPost,2026-01-03 02:20:00,2,MINN.HUB,31.44,-0.11,-3.52
2026-01-03,ExPost,2026-01-03 02:25:00,2,MINN.HUB,38.41,-3.08,-7.53
2026-01-03,ExPost,2026-01-03 02:30:00,2,MINN.HUB,40.13,-0.66,-2.34
2026-01-03,ExPost,2026-01-03 02:35:00,2,MINN.HUB,35.44,1.43,-2.31
2026-01-03,ExPost,2026-01-03 02:40:00,2,MINN.HUB,33.22,-3.63,0.59
2026-01-03,ExPost,2026-01-03 02:45:00,2,MINN.HUB,38.75,-1.92,-2.56
2026-01-03,ExPost,2026-01-03 02:50:00,2,MINN.HUB,32.42,-1.11,1.12
2026-01-03,ExPost,2026-01-03 02:55:00,2,MINN.HUB,36.71,-1.7,-4.06
2026-01-03,ExPost,2026-01-03 03:00:00,3,MINN.HUB,36.37,-1.38,-0.8
2026-01-03,ExPost,2026-01-03 03:05:00,3,MINN.HUB,36.29,-1.74,-3.73
2026-01-03,ExPost,2026-01-03 03:10:00,3,MINN.HUB,36.85,0.27,-0.65
2026-01-03,ExPost,2026-01-03 03:15:00,3,MINN.HUB,35.99,-0.88,-4.76
2026-01-03,ExPost,2026-01-03 03:20:00,3,MINN.HUB,36.28,-0.22,-5.97
2026-01-03,ExPost,2026-01-03 03:25:00,3,MINN.HUB,31.89,-1.64,-0.96
2026-01-03,ExPost,2026-01-03 03:30:00,3,MINN.HUB,32.09,-5.23,-6.15
2026-01-03,ExPost,2026-01-03 03:35:00,3,MINN.HUB,38.57,2.67,-2.34
2026-01-03,ExPost,2026-01-03 03:40:00,3,MINN.HUB,37.27,-0.94,-0.8
2026-01-03,ExPost,2026-01-03 03:45:00,3,MINN.HUB,33.98,-2.17,-1.62
2026-01-03,ExPost,2026-01-03 03:50:00,3,MINN.HUB,32.22,-3.34,-4.23
2026-01-03,ExPost,2026-01-03 03:55:00,3,MINN.HUB,32.84,-0.04,-5.34
2026-01-03,ExPost,2026-01-03 04:00:00,4,MINN.HUB,36.39,-2.24,0.97
2026-01-03,ExPost,2026-01-03 04:05:00,4,MINN.HUB,36.03,-1.46,-1.31
2026-01-03,ExPost,2026-01-03 04:10:00,4,MINN.HUB,36.23,1.4,-0.78
2026-01-03,ExPost,2026-01-03 04:15:00,4,MINN.HUB,40.61,-1.0,-0.48
