day,priceType,timestamp,hour,pnode,lmp,mcc,mlc
2026-01-02,ExPost,2026-01-02 23:00:00,23,PSI_GEN.AGG,33.87,0.76,0.44
2026-01-02,ExPost,2026-01-02 23:05:00,23,PSI_GEN.AGG,34.93,-1.7,-0.17
2026-01-02,ExPost,2026-01-02 23:10:00,23,PSI_GEN.AGG,37.63,0.49,-0.14
2026-01-02,ExPost,2026-01-02 23:15:00,23,PSI_GEN.AGG,34.82,-2.28,-2.19
2026-01-02,ExPost,2026-01-02 23:20:00,23,PSI_GEN.AGG,35.52,-3.55,-4.33
2026-01-02,ExPost,2026-01-02 23:25:00,23,PSI_GEN.AGG,33.01,-0.03,-2.67
2026-01-02,ExPost,2026-01-02 23:30:00,23,PSI_GEN.AGG,33.74,-1.76,1.75
2026-01-02,ExPost,2026-01-02 23:35:00,23,PSI_GEN.AGG,36.18,-2.06,-0.92
2026-01-02,ExPost,2026-01-02 23:40:00,23,PSI_GEN.AGG,33.68,-1.78,-4.94
2026-01-02,ExPost,2026-01-02 23:45:00,23,PSI_GEN.AGG,33.97,-1.83,-3.03
2026-01-02,ExPost,2026-01-02 23:50:00,23,PSI_GEN.AGG,33.04,-2.93,-3.31
2026-01-02,ExPost,2026-01-02 23:55:00,23,PSI_GEN.AGG,32.81,-0.65,2.45
2026-01-03,ExPost,2026-01-03 00:00:00,0,PSI_GEN.AGG,40.13,2.45,-1.95
2026-01-03,ExPost,2026-01-03 00:05:00,0,PSI_GEN.AGG,30.87,-1.1,-3.61
2026-01-03,ExPost,2026-01-03 00:10:00,0,PSI_GEN.AGG,34.26,-1.45,-0.89
2026-01-03,ExPost,2026-01-03 00:15:00,0,PSI_GEN.AGG,34.18,-2.31,-6.87
2026-01-03,ExPost,2026-01-03 00:20:00,0,PSI_GEN.AGG,33.07,-1.74,-0.65
2026-01-03,ExPost,2026-01-03 00:25:00,0,PSI_GEN.AGG,37.18,1.03,-1.11
2026-01-03,ExPost,2026-01-03 00:30:00,0,PSI_GEN.AGG,36.66,-0.04,-5.86
2026-01-03,ExPost,2026-01-03 00:35:00,0,PSI_GEN.AGG,35.41,-0.65,-0.76
2026-01-03,ExPost,2026-01-03 00:40:00,0,PSI_GEN.AGG,40.33,1.35,-0.4
2026-01-03,ExPost,2026-01-03 00:45:00,0,PSI_GEN.AGG,40.55,0.46,-5.43
2026-01-03,ExPost,2026-01-03 00:50:00,0,PSI_GEN.AGG,37.52,-5.58,-0.74
2026-01-03,ExPost,2026-01-03 00:55:00,0,PSI_GEN.AGG,38.67,-0.53,-0.91
2026-01-03,ExPost,2026-01-03 01:00:00,1,PSI_GEN.AGG,38.11,-0.98,1.82
2026-01-03,ExPost,2026-01-03 01:05:00,1,PSI_GEN.AGG,32.0,-2.59,-0.4
2026-01-03,ExPost,2026-01-03 01:10:00,1,PSI_GEN.AGG,34.24,-1.36,-1.01
2026-01-03,ExPost,2026-01-03 01:15:00,1,PSI_GEN.AGG,35.29,-0.6,1.22
2026-01-03,ExPost,2026-01-03 01:20:00,1,PSI_GEN.AGG,36.98,-3.08,-0.31
2026-01-03,ExPost,2026-01-03 01:25:00,1,PSI_GEN.AGG,35.14,-3.95,1.17
2026-01-03,ExPost,2026-01-03 01:30:00,1,PSI_GEN.AGG,35.94,-0.37,-3.58
2026-01-03,ExPost,2026-01-03 01:35:00,1,PSI_GEN.AGG,37.55,-1.68,1.16
2026-01-03,ExPost,2026-01-03 01:40:00,1,PSI_GEN.AGG,37.66,1.17,-0.58
2026-01-03,ExPost,2026-01-03 01:45:00,1,PSI_GEN.AGG,28.59,-2.09,4.55
2026-01-03,ExPost,2026-01-03 01:50:00,1,PSI_GEN.AGG,40.07,-2.94,-3.72
2026-01-03,ExPost,2026-01-03 01:55:00,1,PSI_GEN.AGG,32.09,0.27,-2.85
2026-01-03,ExPost,2026-01-03 02:00:00,2,PSI_GEN.AGG,37.66,-0.23,-0.11
